"Well","Heat","Time_sec","Time_hours"
"AB0.01",73.4764012646659,12615.2974322932,3.50424928674811
"AB0.1",70.2290566218731,12195.2974322932,3.38758262008144
"AB0.5",66.4267402133315,11715.2974322932,3.25424928674811
"AB1",61.2342719461134,13875.2974322932,3.85424928674811
"AB10",93.9350013590684,95835.2974322932,26.6209159534148
"SB0.01",51.3075743120977,6915.2974322932,1.92091595341478
"SB0.1",69.9976484291676,7935.2974322932,2.20424928674811
"SB0.5",54.9464755561531,7695.2974322932,2.13758262008144
"PC0.01",71.5393825372245,20235.2974322932,5.62091595341478
"PC0.1",69.692542328621,20055.2974322932,5.57091595341478
"PC0.5",58.7590617190581,31215.2974322932,8.67091595341478
"PC1",64.9683221010555,110475.297432293,30.6875826200814
"PC10",4.47263721971123,90315.2974322932,25.0875826200814
"SB1",42.6244660088888,14175.2974322932,3.93758262008145
"SB10",15.6358299261059,221175.297432293,61.4375826200814
"SB50",3.97022522786081,-44.7025677067984,-0.0124173799185551
"AB0.01",76.4527051131987,12495.2974322932,3.47091595341478
"AB0.1",74.4855041075997,12795.2974322932,3.55424928674811
"AB0.5",66.3720845822144,12315.2974322932,3.42091595341478
"AB1",60.1649644342241,13755.2974322932,3.82091595341478
"AB10",89.7478006734801,90495.2974322932,25.1375826200814
"SB0.01",67.5600518824556,7995.2974322932,2.22091595341478
"SB0.1",68.6719815235262,8475.2974322932,2.35424928674811
"SB0.5",45.9865221133532,7995.2974322932,2.22091595341478
"PC0.01",76.5485750168841,20055.2974322932,5.57091595341478
"PC0.1",72.9137564121746,20655.2974322932,5.73758262008145
"PC0.5",59.0572245749373,33375.2974322932,9.27091595341478
"PC1",5.65273798182347,34215.2974322932,9.50424928674811
"PC10",4.50876917283257,90795.2974322932,25.2209159534148
"SB1",46.1686416330516,11055.2974322932,3.07091595341478
"SB10",10.8834850889752,229275.297432293,63.6875826200814
"AB50",10.2718829734952,-44.7025677067984,-0.0124173799185551
